Setup complete. Steps per week: 672
CloudClusterEnv defined.

=======================================================
Training sla-focused, training seed 1
=======================================================
steps  65536 | recent ep reward   -153.7
steps  67584 | recent ep reward   -152.6
steps  69632 | recent ep reward   -156.8
steps  71680 | recent ep reward   -155.5
steps  73728 | recent ep reward   -154.0
steps  75776 | recent ep reward   -152.4
steps  77824 | recent ep reward   -154.7
steps  79872 | recent ep reward   -147.7
steps  81920 | recent ep reward   -151.7
steps  83968 | recent ep reward   -161.9
steps  86016 | recent ep reward   -156.9
steps  88064 | recent ep reward   -152.6
steps  90112 | recent ep reward   -144.1
steps  92160 | recent ep reward   -142.4
steps  94208 | recent ep reward   -133.0
steps  96256 | recent ep reward   -116.2
steps  98304 | recent ep reward   -118.0
steps 100352 | recent ep reward   -117.0
steps 102400 | recent ep reward   -113.4
steps 104448 | recent ep reward   -118.0
steps 106496 | recent ep reward   -102.9
steps 108544 | recent ep reward    -81.2
steps 110592 | recent ep reward    -82.4
steps 112640 | recent ep reward    -94.1
steps 114688 | recent ep reward   -101.6
steps 116736 | recent ep reward    -78.6
steps 118784 | recent ep reward    -74.6
steps 120832 | recent ep reward    -75.6
steps 122880 | recent ep reward    -75.6
steps 124928 | recent ep reward    -77.1
steps 126976 | recent ep reward    -87.2
steps 129024 | recent ep reward    -72.0
steps 131072 | recent ep reward    -75.5
steps 133120 | recent ep reward    -64.7
steps 135168 | recent ep reward    -60.2
steps 137216 | recent ep reward    -70.6
steps 139264 | recent ep reward    -80.5
steps 141312 | recent ep reward    -76.1
steps 143360 | recent ep reward    -63.6
steps 145408 | recent ep reward    -73.8
steps 147456 | recent ep reward    -66.3
steps 149504 | recent ep reward    -55.3
steps 151552 | recent ep reward    -60.1
steps 153600 | recent ep reward    -56.9
steps 155648 | recent ep reward    -53.0
steps 157696 | recent ep reward    -64.5
steps 159744 | recent ep reward    -59.9
steps 161792 | recent ep reward    -53.8
steps 163840 | recent ep reward    -46.2
steps 165888 | recent ep reward    -51.2
steps 167936 | recent ep reward    -51.2
steps 169984 | recent ep reward    -39.7
steps 172032 | recent ep reward    -40.9
steps 174080 | recent ep reward    -38.8
steps 176128 | recent ep reward    -33.5
steps 178176 | recent ep reward    -32.1
steps 180224 | recent ep reward    -37.0
steps 182272 | recent ep reward    -35.3
steps 184320 | recent ep reward    -34.4
steps 186368 | recent ep reward    -32.9
steps 188416 | recent ep reward    -30.6
steps 190464 | recent ep reward    -30.4
steps 192512 | recent ep reward    -24.6
steps 194560 | recent ep reward    -24.4
steps 196608 | recent ep reward    -24.1
steps 198656 | recent ep reward    -24.6
steps 200704 | recent ep reward    -28.3
steps 202752 | recent ep reward    -21.4
steps 204800 | recent ep reward    -15.6
steps 206848 | recent ep reward    -19.0
steps 208896 | recent ep reward    -20.5
steps 210944 | recent ep reward    -27.0
steps 212992 | recent ep reward    -18.7
steps 215040 | recent ep reward    -16.9
steps 217088 | recent ep reward    -14.5
steps 219136 | recent ep reward    -15.3
steps 221184 | recent ep reward    -16.9
steps 223232 | recent ep reward    -15.8
steps 225280 | recent ep reward    -14.5
steps 227328 | recent ep reward    -12.3
steps 229376 | recent ep reward    -10.7
steps 231424 | recent ep reward     -9.4
steps 233472 | recent ep reward    -11.8
steps 235520 | recent ep reward    -16.7
steps 237568 | recent ep reward    -14.9
steps 239616 | recent ep reward     -7.7
steps 241664 | recent ep reward     -7.2
steps 243712 | recent ep reward     -6.7
steps 245760 | recent ep reward     -7.9
steps 247808 | recent ep reward     -5.9
steps 249856 | recent ep reward     -5.7
steps 251904 | recent ep reward     -7.6
Trained in 5.7 min
seed 3: cost 178.3 ± 0.8   breaches 1031 ± 393

============================================================
TRAINING-RUN VARIANCE — sla-focused, 30 eval seeds each
============================================================
  canonical : cost   177.7   breaches    878
  seed1     : cost   179.9   breaches    679
  seed2     : cost   182.4   breaches    178
  seed3     : cost   178.3   breaches   1031

Across 4 independent training runs:
  cost     179.6 ± 1.8  (range 177.7-182.4)
  breaches 691 ± 322  (range 178-1031)

Saved training_variance_results.json
